run_id,generated_at,game_date,away,home,team,player,player_id,market,projection,projection_basis,sigma,sigma_source,line,side,odds,opposite_odds,book,model_prob,implied_prob,vig_free,edge,tier,verdict,priced
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Leila Lacan,1642303,player_threes,1.01,"season fg3m history; L5 fg3m x0.45, minutes x0.97",0.94,"player-fitted (n=24, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Diamond Miller,1641649,player_points,10.49,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x0.97",5.004,"player-fitted (n=33, shrunk to league)",12.5,under,-102,-128,fanduel,0.656,0.4735,True,0.1825,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Diamond Miller,1641649,player_rebounds,3.04,"season RPG; L5 reb x0.45, minutes x0.97",1.884,"player-fitted (n=33, shrunk to league)",3.5,under,-132,103,betrivers,0.5965,0.536,True,0.0605,Standard,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Diamond Miller,1641649,player_assists,1.62,"season APG; L5 ast x0.45, minutes x0.97",1.334,"player-fitted (n=33, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Diamond Miller,1641649,player_threes,1.38,"season fg3m history; L5 fg3m x0.45, minutes x0.97",1.079,"player-fitted (n=33, shrunk to league)",1.5,under,112,-132,betrivers,0.5443,0.4533,True,0.091,Strong,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Charlisse Leger-Walker,1643449,player_points,6.04,"season PPG; L5 pts x0.45 + source pts x0.35, minutes x0.91",4.55,"player-fitted (n=33, shrunk to league)",8.5,under,-122,100,betrivers,0.7056,0.5236,True,0.182,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Charlisse Leger-Walker,1643449,player_rebounds,1.63,"season RPG; L5 reb x0.45, minutes x0.91",1.759,"player-fitted (n=33, shrunk to league)",3.5,under,-104,,betrivers,0.8562,0.5098,False,0.3464,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Charlisse Leger-Walker,1643449,player_assists,2.86,"season APG; L5 ast x0.45, minutes x0.91",1.788,"player-fitted (n=33, shrunk to league)",4.5,under,-108,,betrivers,0.8204,0.5192,False,0.3012,Review,REVIEW,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Charlisse Leger-Walker,1643449,player_threes,1.25,"season fg3m history; L5 fg3m x0.45, minutes x0.91",1.019,"player-fitted (n=33, shrunk to league)",,,,,,,,False,,,PROJ,False
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Olivia Nelson-Ododa,1631135,player_points,10.42,season PPG; L5 pts x0.45 + source pts x0.35,5.472,"player-fitted (n=32, shrunk to league)",11.5,under,-122,-106,fanduel,0.5782,0.5164,True,0.0618,Standard,PLAY,True
0cf446817dbb,2026-08-18T19:22:54+00:00,2026-08-18,LAS,CON,CON,Olivia Nelson-Ododa,1631135,player_rebounds,6.96,season RPG; L5 reb x0.45,3.81,"player-fitted (n=32, shrunk to league)",8.5,under,-114,-114,betrivers,0.657,0.5,True,0.157,Review,REVIEW,True
