id,name,team,pos,season,gp,mpg,projectedMinutes,expectedMinutes,projectedPoints,expectedPoints,projectedPlayProbability,projectedStarterProbability,projectionConfidence,ppg,rpg,apg,usg,ortg,drtg,netRtg,rapm,rapmConfidence,cvi,cviConfidence,bpm,roleTrustScore,minutesRoleGap,creationLoad,rimPressureIndex,shotQualityIndex,defensiveActivityIndex,sample_weight,low_sample,minutes_signal,usage_signal,impact_signal,scoring_signal,role_signal,recent_minutes_signal,recent_usage_signal,recent_scoring_signal,recent_pra_signal,volatility_penalty,confidence_penalty,anchor_gap,market_attention,attention_penalty,edge_score,lean,watch_reason
1641651,Jordan Horston,SEA,F,2026-27,35,17.5,12.694298860187509,11.668883135961575,4.505647268417205,4.141691637016357,0.9192223426027972,0.6389088787977311,69.4,4.7,3.6,1.3,16.7,97.0,102.1,-5.1,-0.6000000000000001,47.5,-5.84,82.1,0.04,58.8,-4.8,18.3,48.5,-3.1,14.4,0.8033,False,-0.39233925142627524,-0.24952576426762568,-0.670022144034795,-0.34198894864845136,0.7683659153876348,0.11238797457430749,0.22382507129701867,0.16997552269670022,0.2864286692972856,0.0,0.30599999999999994,0.14328676144661592,-0.2567308820381849,0.0,0.020886761446615942,—,no gap to the season anchor
1629482,Sophie Cunningham,IND,F,2026-27,39,22.7,21.44888250057481,21.44888250057481,5.722605824888759,5.722605824888759,1.0,0.028037078120193,58.4,8.3,2.3,1.3,13.2,110.2,106.7,3.5,-0.34,32.1,-2.56,95.8,-0.03,59.1,-1.3,11.3,55.9,9.0,4.7,0.8551,False,0.3419865530067921,-1.6190104589897751,-0.2599237141732034,-0.12972028500811877,0.4437968138232675,-0.06300936710444204,-0.02328751113538637,-0.33479423313091333,-0.4773522948332907,0.11219152059680304,0.41600000000000004,-0.2120870318220324,-0.06366566628123653,0.0,0.017639151672831616,—,no gap to the season anchor
1630993,Anneli Maley,PHX,,2026-27,9,7.8,5.576215344741302,3.743633779109216,1.032046074097227,0.692871832546968,0.6713574615872181,0.032535777875502,52.2,0.7000000000000001,1.2,0.2,11.0,108.5,97.8,10.7,2.19,39.3,-2.91,32.8,-0.03,40.9,-2.2,5.6,60.0,3.5,9.6,0.3188,True,0.05000206281233213,-0.9765889629073199,0.48379511085228494,-0.28135906727547455,-0.5631540334416991,-0.06733288447573746,0.21500812874194822,0.05143601089774492,0.012896501877633143,0.0,0.478,0.2069629312848032,-1.2016767252212246,0.0,0.01576293128480319,—,LOW SAMPLE
1643437,Ashlon Jackson,CON,,2026-27,15,11.3,2.1846900973920462,1.795593741016578,0.5174025716435331,0.425252451291855,0.8218986039072781,0.027191097444415,60.6,2.1,0.9,0.6000000000000001,13.2,76.1,103.8,-27.7,-1.17,60.5,-2.69,46.6,-0.01,41.7,-9.1,13.3,17.3,2.2,7.9,0.5305,False,-0.8305072819527618,-0.8614814224105136,-0.48155723555251345,-0.7390877224337237,-0.26913767644654607,0.4126230342980447,-0.047316404779199545,0.27224149218078586,0.4029437380129682,0.0,0.39399999999999996,-0.17280587392425173,-0.8545406656093921,0.0,0.01520587392425174,—,role shrinking
1630471,Maya Caldwell,MIN,G,2026-27,40,13.8,13.08559367137369,11.833509204419723,3.050810311193777,2.758895989367848,0.904315807261152,0.31470177457829,63.8,4.0,2.1,1.0,15.0,105.7,97.2,8.5,-0.06,45.6,-5.34,82.1,0.05,48.7,-0.7000000000000001,15.3,38.8,-1.0,8.8,0.7863,False,0.4199480039547768,-0.8063570805000718,-0.2809761424551541,-0.5990724501458233,0.1432076344511674,0.28717553086673364,-0.4656531686432075,0.06758600776869486,-0.3127525657277798,0.0,0.36200000000000004,0.15650266450460454,-0.5396206419968458,0.0,0.011702664504604526,—,no gap to the season anchor
1642210,Julie Vanloo,NYL,,2026-27,5,16.2,,,,,,,,5.8,2.0,5.4,16.3,114.8,93.8,21.0,-1.6,36.7,-0.59,37.4,-0.03,38.6,,26.6,35.3,6.6,2.2,0.3506,False,0.24987519423031135,0.2575810046283309,-0.34240183718504535,-0.12077892680206152,,0.1547373347361892,-0.009017087879099621,0.11825740234868332,0.02185893809491696,1.2262415462616245,0.5,0.5128061014354809,-0.2647808316015751,0.0,0.006245714870074748,OVER,volatile game-to-game
1629477,Sabrina Ionescu,NYL,G,2026-27,27,30.5,28.637416661502662,24.187325250995805,17.408751549655385,14.703530731224747,0.8446056966971771,0.945936435287913,68.0,15.1,4.0,4.7,24.0,108.3,110.9,-2.6,0.18,28.1,3.84,93.4,0.0,78.9,-1.9,28.5,51.4,3.3,5.9,0.8459,False,0.2090384319849793,2.0281458769381073,0.807686654587879,1.460194336377841,1.627002413604112,-0.48805560368540185,0.006561568182028426,-1.2665433403923945,-0.6883076106593139,2.230099587504897,0.32,-1.3233109575660773,1.2860288466158256,1.2860288466158256,-0.005228362618059701,UNDER,"scoring cooled L5, heavily bet — priced efficiently, volatile game-to-game"
1631090,Christyn Williams,DAL,,2026-27,1,5.0,15.17534858385748,14.880424930747951,4.365109504117665,4.280276260646281,0.980565609318309,0.075006885451867,61.1,1.0,1.0,0.0,29.5,71.7,92.2,-20.5,-0.55,20.0,,,,34.6,10.2,16.2,100.0,-18.8,4.2,0.0323,True,0.10501954479134826,0.056300445027828445,,0.0020913221300564075,-0.5722689635355542,0.014707028279932526,-0.0008295289924619724,0.010879115867202646,0.0020109178414678686,,0.389,0.14608630889808652,-0.1616846090076877,0.0,-0.009513691101913496,—,LOW SAMPLE
1629498,Jackie Young,LVA,G,2026-27,39,32.3,30.046631275684906,29.29695664070495,22.631887592440265,22.067213572444548,0.9750496277568852,1.0,75.8,18.9,4.4,6.6,24.5,114.4,101.3,13.1,4.49,67.9,8.67,97.1,0.17,85.7,-2.3,32.3,38.6,-8.6,6.4,0.8936,False,0.1335481248121931,2.681614656451797,4.45570483269487,2.1963376998086153,2.1717326159902512,0.24529777278679438,0.4439514986278429,0.5483841234419168,0.14199949384496663,0.9322025545588107,0.24200000000000002,1.122967515540081,1.6076238556262865,1.6076238556262865,-0.010695050912765042,OVER,heavily bet — priced efficiently
1630097,Kaila Charles,GSV,G,2026-27,40,19.7,12.162527168407554,11.581949883195405,3.25763834466608,3.102135232511727,0.9522650780406712,0.054023279784024,62.6,6.2,4.4,1.4,16.3,110.6,96.0,14.6,1.83,56.1,-4.05,87.9,0.04,53.3,-7.5,17.9,48.8,-0.6000000000000001,8.3,0.8401,False,-0.9838576522090484,-0.3676371641649547,1.002410561231935,-0.527646836590645,0.31268160560731106,0.33139029506693923,0.007289843192178827,0.5788807124509753,0.5287593376961494,0.0941398999982318,0.374,-0.16204479884844988,-0.11058131700418981,0.0,-0.011090176151108078,—,role shrinking
