playerId,player,team,split_type,split_value,games,min_avg,pts_avg,reb_avg,ast_avg,pra_avg,stl_avg,blk_avg,stocks_avg,tov_avg,fga_avg,fg3a_avg,fta_avg,usage_proxy_avg,fantasy_simple_avg,plusMinus_avg,starter_rate,win_rate
1627673,Jonquel Jones,NYL,home_away,away,20,26.610000000000003,13.85,7.5,2.65,24.0,0.55,0.8,1.35,2.05,8.75,4.15,3.2,0.4632972735015687,28.825,-1.6,0.85,0.5
1627673,Jonquel Jones,NYL,home_away,home,17,29.599999999999998,14.294117647058824,10.588235294117647,2.8823529411764706,27.764705882352942,0.7647058823529411,1.2941176470588236,2.0588235294117645,2.0588235294117645,10.647058823529411,4.823529411764706,3.588235294117647,0.4864999620728443,35.44117647058823,5.117647058823529,0.9411764705882353,0.7058823529411765
1627673,Jonquel Jones,NYL,month,Aug,8,26.4625,14.75,9.75,3.25,27.75,0.625,1.0,1.625,2.0,10.125,4.75,2.25,0.5039916604534779,34.199999999999996,6.125,0.75,0.75
1627673,Jonquel Jones,NYL,month,Jul,9,29.900000000000002,12.666666666666666,9.666666666666666,2.888888888888889,25.22222222222222,0.5555555555555556,1.0,1.5555555555555556,2.4444444444444446,9.777777777777779,4.111111111111111,3.111111111111111,0.45720581899323354,30.82222222222222,-4.222222222222222,1.0,0.4444444444444444
1627673,Jonquel Jones,NYL,month,Jun,11,26.66363636363636,15.818181818181818,8.090909090909092,2.3636363636363638,26.272727272727273,0.6363636363636364,1.0909090909090908,1.7272727272727273,1.7272727272727273,8.909090909090908,5.0,3.8181818181818183,0.465558696159129,32.52727272727273,0.6363636363636364,0.9090909090909091,0.6363636363636364
1627673,Jonquel Jones,NYL,month,May,9,29.033333333333335,12.666666666666666,8.444444444444445,2.6666666666666665,23.77777777777778,0.7777777777777778,1.0,1.7777777777777777,2.111111111111111,9.88888888888889,3.888888888888889,4.111111111111111,0.4745305484011049,30.022222222222222,4.111111111111111,0.8888888888888888,0.5555555555555556
1627673,Jonquel Jones,NYL,opponent,ATL,1,26.0,16.0,10.0,5.0,31.0,0.0,3.0,3.0,4.0,8.0,7.0,2.0,0.4953846153846154,40.5,-2.0,1.0,1.0
1627673,Jonquel Jones,NYL,opponent,CHI,3,20.8,12.666666666666666,6.0,2.3333333333333335,21.0,0.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,6.666666666666667,3.3333333333333335,3.6666666666666665,0.5270387927271104,24.7,-3.0,0.6666666666666666,0.6666666666666666
1627673,Jonquel Jones,NYL,opponent,CON,3,19.900000000000002,11.0,5.333333333333333,1.0,17.333333333333332,0.6666666666666666,0.3333333333333333,1.0,1.6666666666666667,7.666666666666667,4.0,2.0,0.5016553314121037,20.233333333333334,5.666666666666667,0.6666666666666666,1.0
1627673,Jonquel Jones,NYL,opponent,DAL,3,31.400000000000002,15.0,9.666666666666666,2.0,26.666666666666668,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,11.666666666666666,4.0,3.0,0.46778268494655667,31.933333333333334,-4.333333333333333,1.0,0.3333333333333333
1627673,Jonquel Jones,NYL,opponent,GSV,2,27.65,18.5,7.5,2.5,28.5,0.0,0.5,0.5,2.5,10.0,4.5,7.0,0.5637101418922457,30.25,-12.0,1.0,0.0
1627673,Jonquel Jones,NYL,opponent,IND,3,28.3,11.666666666666666,9.333333333333334,2.6666666666666665,23.666666666666668,1.0,1.6666666666666667,2.6666666666666665,2.3333333333333335,7.333333333333333,3.0,3.6666666666666665,0.4018498484356738,32.53333333333333,-4.666666666666667,1.0,0.3333333333333333
1627673,Jonquel Jones,NYL,opponent,LAS,3,30.13333333333333,12.666666666666666,10.333333333333334,4.333333333333333,27.333333333333332,1.3333333333333333,1.0,2.3333333333333335,1.6666666666666667,8.333333333333334,3.3333333333333335,1.3333333333333333,0.3578738402267814,36.9,-3.0,1.0,0.6666666666666666
1627673,Jonquel Jones,NYL,opponent,LVA,3,25.066666666666666,12.333333333333334,6.666666666666667,3.3333333333333335,22.333333333333332,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,9.0,4.666666666666667,3.0,0.479612938204996,26.0,5.333333333333333,0.6666666666666666,0.6666666666666666
1627673,Jonquel Jones,NYL,opponent,MIN,2,33.25,14.5,13.5,3.5,31.5,1.0,0.5,1.5,1.5,10.5,4.0,3.5,0.4070646766169154,38.95,10.5,1.0,0.5
1627673,Jonquel Jones,NYL,opponent,PDX,3,31.03333333333333,11.666666666666666,9.0,3.3333333333333335,24.0,0.6666666666666666,1.3333333333333333,2.0,3.0,8.666666666666666,3.6666666666666665,3.0,0.40800050191354537,30.46666666666667,4.666666666666667,1.0,0.3333333333333333
1627673,Jonquel Jones,NYL,opponent,PHX,3,29.666666666666668,14.0,10.0,3.6666666666666665,27.666666666666668,1.0,1.0,2.0,1.6666666666666667,11.666666666666666,5.0,4.0,0.5092786726402162,35.83333333333333,11.0,1.0,1.0
1627673,Jonquel Jones,NYL,opponent,SEA,3,30.23333333333333,20.0,10.0,3.3333333333333335,33.333333333333336,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,15.0,8.0,4.333333333333333,0.6138422586159048,40.333333333333336,2.6666666666666665,1.0,0.6666666666666666
1627673,Jonquel Jones,NYL,opponent,TOR,2,32.35,16.0,13.5,1.0,30.5,0.0,1.5,1.5,2.0,11.0,6.0,2.0,0.427066143390447,36.2,2.0,1.0,0.5
