run_id,generated_at,game_date,away,home,market,projection,projection_basis,side,line,odds,opposite_odds,book,model_prob,implied_prob,vig_free,edge,tier,verdict,priced
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-27,GSV,NYL,moneyline,0.51,Normal CDF of projected margin (σ=12),GSV,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-27,GSV,NYL,spread,-0.3,projected home margin,GSV,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-27,GSV,NYL,total,168.3,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-27,WAS,PHX,moneyline,0.5,Normal CDF of projected margin (σ=12),PHX,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-27,WAS,PHX,spread,0.0,projected home margin,PUSH,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-27,WAS,PHX,total,167.8,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,PDX,ATL,moneyline,0.6856,Normal CDF of projected margin (σ=12),ATL,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,PDX,ATL,spread,5.8,projected home margin,ATL,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,PDX,ATL,total,176.8,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,CON,IND,moneyline,0.758,Normal CDF of projected margin (σ=12),IND,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,CON,IND,spread,8.4,projected home margin,IND,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,CON,IND,total,176.2,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,TOR,LVA,moneyline,0.7002,Normal CDF of projected margin (σ=12),LVA,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,TOR,LVA,spread,6.3,projected home margin,LVA,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,TOR,LVA,total,177.7,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,WAS,LAS,moneyline,0.5199,Normal CDF of projected margin (σ=12),WAS,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,WAS,LAS,spread,-0.6,projected home margin,WAS,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-28,WAS,LAS,total,172.4,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-29,CHI,NYL,moneyline,0.6243,Normal CDF of projected margin (σ=12),NYL,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-29,CHI,NYL,spread,3.8,projected home margin,NYL,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-29,CHI,NYL,total,177.4,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-29,TOR,PHX,moneyline,0.6019,Normal CDF of projected margin (σ=12),PHX,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-29,TOR,PHX,spread,3.1,projected home margin,PHX,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-29,TOR,PHX,total,176.7,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,MIN,ATL,moneyline,0.5199,Normal CDF of projected margin (σ=12),MIN,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,MIN,ATL,spread,-0.6,projected home margin,MIN,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,MIN,ATL,total,176.0,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,LAS,SEA,moneyline,0.5398,Normal CDF of projected margin (σ=12),SEA,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,LAS,SEA,spread,1.2,projected home margin,SEA,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,LAS,SEA,total,173.6,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,GSV,PDX,moneyline,0.6274,Normal CDF of projected margin (σ=12),GSV,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,GSV,PDX,spread,-3.9,projected home margin,GSV,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,GSV,PDX,total,168.5,projected total,,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,CON,DAL,moneyline,0.7002,Normal CDF of projected margin (σ=12),DAL,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,CON,DAL,spread,6.3,projected home margin,DAL,,,,,,,False,,,PROJ,False
a8e485a006df,2026-08-22T16:31:24+00:00,2026-08-30,CON,DAL,total,170.5,projected total,,,,,,,,False,,,PROJ,False
