team,split_type,split_value,games,pts_avg,opp_pts_avg,margin_avg,pace_avg,total_avg,win_rate,efg_avg,tov_rate_proxy_avg,three_rate_avg,ft_rate_avg
CON,month,Jul,7,80.85714285714286,83.14285714285714,-2.2857142857142856,79.07142857142857,164.0,0.42857142857142855,0.49254416077267477,0.1748774352230697,0.24825650811051303,0.37916914371012417
CON,month,Jun,9,83.33333333333333,85.0,-1.6666666666666667,80.44444444444444,168.33333333333334,0.2222222222222222,0.48775264394803397,0.1258009941337336,0.25188028848013055,0.3318975428921078
CON,month,May,10,75.6,88.1,-12.5,80.9,163.7,0.2,0.4454022234062588,0.1607945943929878,0.2926773998821449,0.30982663098236607
CON,opponent,ATL,1,75.0,91.0,-16.0,77.5,166.0,0.0,0.509090909090909,0.17123287671232876,0.3090909090909091,0.5272727272727272
CON,opponent,CHI,2,86.0,74.0,12.0,80.75,160.0,0.5,0.4940088290939668,0.16345829373120288,0.22377548875341602,0.34191717468993066
CON,opponent,DAL,1,83.0,86.0,-3.0,80.0,169.0,0.0,0.4765625,0.14989293361884368,0.140625,0.546875
CON,opponent,GSV,2,67.0,88.0,-21.0,76.75,155.0,0.0,0.44343617664851787,0.22005560043995043,0.2958257713248639,0.39216575922565033
CON,opponent,IND,1,75.0,85.0,-10.0,76.5,160.0,0.0,0.46,0.10231923601637108,0.22666666666666666,0.12
CON,opponent,LAS,1,84.0,81.0,3.0,83.0,165.0,1.0,0.4626865671641791,0.16556291390728478,0.3283582089552239,0.4626865671641791
CON,opponent,LVA,2,81.5,99.5,-18.0,83.75,181.0,0.0,0.425,0.13408646028914162,0.24717813051146384,0.26402116402116405
CON,opponent,MIN,2,85.0,87.5,-2.5,79.5,172.5,0.5,0.49959207459207455,0.16096507885073172,0.29055944055944055,0.4273892773892774
CON,opponent,NYL,2,77.5,97.5,-20.0,85.25,175.0,0.0,0.44410499139414805,0.13123915587297744,0.22538726333907058,0.2546471600688468
CON,opponent,PDX,3,77.66666666666667,80.33333333333333,-2.6666666666666665,76.66666666666667,158.0,0.3333333333333333,0.5011431577392097,0.1796813140205915,0.28837507292008974,0.323602163274768
CON,opponent,PHX,2,79.5,77.5,2.0,80.5,157.0,0.5,0.48950524737631185,0.18122204581924956,0.26561719140429785,0.33045977011494254
CON,opponent,SEA,3,73.66666666666667,81.33333333333333,-7.666666666666667,80.0,155.0,0.3333333333333333,0.44481575587960914,0.144471559530055,0.2890132731051865,0.254429141912571
